id;nome;modelo;marca;ano;tipo_categoria;obs_categoria_outro;perfil_id;categoria_veiculo_id
1;Seamless Fantástico;back THX;Bicicleta bordô;COM ;REBOQUE;Travessa;1;1
2;HDD Crianças;Avon cinza application;array deposit;comp;GUINCHO;Money;2;2
3;Concreto Eletrônicos SQL;Mouse;payment;tran;OUTRO;Synergistic Chapéu;2;3
4;Algodão strategize;Tenge Sabonete;invoice open-source Federal;SMS;REBOQUE;Krone XML Dynamic;1;4
5;Serra projection;infrastructures Guadalupe leading-edge;Optional;inpu;REBOQUE;Borracha index;2;5
6;Camarões Plástico;Investor;wireless;Dist;CEGONHA;moratorium Chief cross-platform;2;6
7;Architect;magnetic turquesa;SMS;grow;GUINCHO;deploy Savings invoice;2;7
8;Bicicleta;invoice payment generating;Director e-services;Acco;GUINCHO;Bedfordshire;2;8
9;24/365 Avenida;Alagoas;Somália;Buck;REBOQUE;Metal proactive PNG;1;9
10;compelling;Teclado;transmit;JSON;GUINCHO;magenta Borracha púrpura;1;10
